Subject_ID,excluded,trials_total,trials_diatonic,trials_chromatic,d-prime,beta,c,Ad,diatonic_d-prime,diatonic_beta,diatonic_c,diatonic_Ad,diatonic_confidence,diatonic_conf_to_mean,diatonic_correct_confidence,diatonic_correct_conf_to_mean,chromatic_d-prime,chromatic_beta,chromatic_c,chromatic_Ad,chromatic_confidence,chromatic_conf_to_mean,chromatic_correct_confidence,chromatic_correct_conf_to_mean,conf_d:c,conf_correct_d:c,binom
SeqC0119,False,120,60,60,0.18149160439467094,0.9345506414946081,-0.3729619492598437,0.551057648195155,-0.5081973164578607,1.6342661953444912,-0.9665416906184192,0.3596667236216404,4,1.0020876826722338,4,1.0035335689045937,0.6717676931814844,1.0657862262826736,0.09484345270471535,0.6826106086196602,3.9833333333333334,0.9979123173277662,3.972972972972973,0.9967529366822653,1.00418410041841,1.0068027210884354,0.054779796913702196
SeqC0123,False,120,60,60,0.07999319909653924,1.00800831417379,0.0997136993335925,0.522553637640001,-0.36610635680056963,0.9351793665166647,0.18305317840028482,0.39786534723672295,3.2666666666666666,0.9679012345679012,3.5,0.9813084112149533,0.523256540948535,1.0108309759929734,0.02058787658824064,0.6443081022465341,3.4833333333333334,1.0320987654320988,3.611111111111111,1.0124610591900312,0.937799043062201,0.9692307692307692,1.0
SeqC0124,False,120,60,60,-0.23344891642281274,1.163312392227905,-0.6479852155749808,0.43444313943073165,-0.09225522716822426,1.051402371606876,-0.5433281842656662,0.4739937272160421,3.05,1.0054945054945055,3.0588235294117645,1.0095624456679222,-0.40147274416883794,1.3604332412425313,-0.7666851940172821,0.38824960095117733,3.0166666666666666,0.9945054945054945,3,0.9901477832512315,1.011049723756906,1.0196078431372548,0.2352033679725243
SeqC0125,False,120,60,60,0.8613235280618302,0.7327740718308816,-0.36097684371245947,0.7287535913756154,0.7794167177440622,0.9196324249149261,-0.10749221180952295,0.7092280094033525,2.6,0.9968051118210862,2.8,0.99581589958159,1.040050818729999,0.5035064968614992,-0.6597357082468617,0.7689602542970291,2.6166666666666667,1.0031948881789137,2.8222222222222224,1.0037192003719202,0.9936305732484076,0.9921259842519684,5.732969902850972e-06
SeqC0126,False,120,60,60,0.3207242445535477,0.8273092530619379,-0.5910894215722313,0.5897050368245725,0.785354376815633,0.5885870558203223,-0.6748933354703247,0.7106653154214871,2.3,1.0147058823529411,2.302325581395349,1.001576665352779,-0.09225522716822426,1.051402371606876,-0.5433281842656662,0.4739937272160421,2.2333333333333334,0.9852941176470589,2.2941176470588234,0.9980059820538384,1.0298507462686566,1.003577817531306,0.0024468567628141585
SeqC0127,False,120,60,60,-0.04030207091084298,0.9935779671350385,0.1598613343372836,0.48863253435956533,-0.5704375981773196,0.9203479081674448,0.14550850020679773,0.3433415961021869,2.0833333333333335,0.9689922480620156,2.227272727272727,0.9744318181818181,0.49044439908078047,1.0952470312893856,0.18550509975506732,0.6356279193118418,2.216666666666667,1.0310077519379846,2.323529411764706,1.0165441176470589,0.9398496240601504,0.958573072497123,0.5229909838899943
SeqC0131,True,120,60,60,0.380750692767889,0.9808941239129337,-0.050665047502082367,0.6061241895943588,0.5704375981773195,0.9203479081674449,-0.14550850020679768,0.656658403897813,2.183333333333333,1.0115830115830116,2.263157894736842,1.0287081339712918,0.199427398667185,1.00800831417379,0.03999659954826962,0.5560715328101357,2.1333333333333333,0.9884169884169884,2.125,0.9659090909090908,1.0234375,1.0650154798761609,0.08240747932752653
SeqC0132,False,120,60,60,0.32083236311564955,0.8878264967667069,-0.3708445758057496,0.5897347619189757,0.6519283088615124,0.7381661392164252,-0.46567445331261836,0.6775945732860429,2.8333333333333335,0.9798270893371759,2.8292682926829267,0.9430894308943089,0.020764300993698304,0.9939428200102746,-0.2925982975593574,0.5058572907137929,2.95,1.0201729106628243,3.212121212121212,1.0707070707070707,0.96045197740113,0.8808099401748735,0.013376326728236718
SeqC0135,False,120,60,60,1.6419113162977828,0.7862472003636766,-0.14646590795280967,0.8771803975434274,1.7321312398880881,0.8389855456872283,-0.10135594615765697,0.8896750364458071,2.9,0.96398891966759,2.9591836734693877,0.963224215860841,1.5568773639514792,0.7451101833158805,-0.18898288412596137,0.8645252387625453,3.1166666666666667,1.03601108033241,3.1875,1.0375419463087248,0.9304812834224598,0.9283713485394157,5.2636097922335006e-12
SeqC0136,False,120,60,60,1.524709791849913,0.6790413520228589,-0.25386683681559996,0.8595127148513864,2.073881390572164,0.5686018367746145,-0.27223102149969497,0.9287378949358409,3.466666666666667,1.0271604938271606,3.5576923076923075,1.0287303058387394,1.0738547548058828,0.7606949422559035,-0.2547112303404332,0.7761724058347625,3.283333333333333,0.9728395061728394,3.340909090909091,0.9660460021905805,1.0558375634517767,1.064887493458922,2.1622281725299543e-11
